dist,acc,ScaleFO,ScaleRes,bin_lo,bin_hi,density,uncertainty
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.0,0.0314,6358.277287307856,531.3938872395228
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.0314,0.0628,5894.485086158794,51.13788292336758
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.0628,0.0942,5151.493303995948,44.21408238349578
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.0942,0.1256,4575.5208506447525,44.19119533464259
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.1256,0.157,3854.338933792556,45.89943312720606
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.157,0.1884,3337.2100148664326,41.6519614728866
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.1884,0.2198,2841.55096023439,33.12394553311233
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.2198,0.2512,2532.3958337218637,29.51753055216093
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.2512,0.2826,2246.6348051007863,25.52525165427653
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.2826,0.314,1989.58424199783,24.032363211579177
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.314,0.3454,1750.2819719866036,21.173633818725374
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.3454,0.3768,1572.753549343193,19.768168333586768
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.3768,0.4082,1441.017470182921,18.16509129497155
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.4082,0.4396,1311.8962553303038,15.73397815554505
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.4396,0.471,1186.8924773214328,16.686822879235596
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.471,0.5024,1073.4445633056314,14.1185459685685
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.5024,0.5338,985.9767274209048,13.884914666836949
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.5338,0.5652,894.8187193853852,13.425963765727085
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.5652,0.5966,816.7559635512259,10.691793171999514
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.5966,0.628,763.702275119914,10.655513725967598
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.628,0.6594,716.2233554332403,10.89399721403051
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.6594,0.6908,643.6412636076894,10.285284796480008
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.6908,0.7222,613.6378444157455,9.833717918451
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.7222,0.7536,564.0916643888647,8.842338612914057
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.7536,0.785,530.8070913796535,8.03337826699189
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.785,0.8164,501.8444635821135,7.510411258442029
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.8164,0.8478,463.9149571283464,7.323098290346158
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.8478,0.8792,441.37262960598787,6.580885064269052
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.8792,0.9106,406.07009900006153,6.590170035471164
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.9106,0.942,380.367091188875,7.228588023236767
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.942,0.9734,364.35454742446274,6.4208578817342
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.9734,1.0048,355.74597032752285,5.820224108951936
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.0048,1.0362,317.0062166749747,5.576266239242572
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.0362,1.0676,309.2443404562035,5.5911363151812346
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.0676,1.099,279.81820645437614,5.325559443611897
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.099,1.1304,272.51093153629824,4.903319940047642
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.1304,1.1618,259.22079984556547,4.699438547512763
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.1618,1.1932,248.43393476485377,4.934124654306499
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.1932,1.2246,223.96085061598532,4.426579371609161
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.2246,1.256,220.5402142382248,4.291568492822411
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.256,1.2874,216.72584079791943,4.398944875593495
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.2874,1.3188,205.7029304237872,3.9734961095714025
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.3188,1.3502,194.11364732441825,3.911087284895391
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.3502,1.3816,180.2748297844946,3.995894195123174
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.3816,1.413,178.0533019556862,3.9059571619558526
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.413,1.4444,167.4553973133829,3.7022920222056945
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.4444,1.4758,159.79207345495155,3.645070654697181
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.4758,1.5072,156.0630516275499,3.5619431544152147
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.5072,1.5386,150.69215985282693,3.4309278072526777
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.5386,1.57,147.75529581219396,3.1463400082313684
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.57,1.6014,140.72351786594265,3.390909375368445
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.6014,1.6328,130.2112745179635,3.117148152819256
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.6328,1.6642,120.97720479846907,3.022018368224491
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.6642,1.6956,120.81768995356764,3.280418937472109
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.6956,1.727,121.4319212089268,3.249687484124917
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.727,1.7584,113.42008968447256,2.797062918366889
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.7584,1.7898,109.3736457814171,2.770896029854813
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.7898,1.8212,101.28175670080084,2.628520779438134
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.8212,1.8526,102.65842681228672,2.6348104630966387
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.8526,1.884,94.24662588893617,2.569872412036854
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.884,1.9154,96.2744963967478,2.6783796936137514
dphiDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,1.9154,1.9468,92.86997564987938,2.55034009190591
