ScaleFO,ScaleRes,O1,O2,value,uncertainty
CV->FO,0p5C0_np->Res,dphi^0,lndphi^0,2008.4013770282425,4.747244003392342
CV->FO,0p5kappa_np->Res,dphi^0,lndphi^0,2007.6121179019856,4.734543621801044
CV->FO,0p5MuBeam->Res,dphi^0,lndphi^0,2010.3137400711237,4.833682194041123
CV->FO,0p5MuBF->Res,dphi^0,lndphi^0,2013.553588341662,4.788067426209308
CV->FO,0p5MuCt->Res,dphi^0,lndphi^0,2007.8964975768731,4.738041419920033
CV->FO,0p5MuFac->Res,dphi^0,lndphi^0,2015.576024140402,4.756079637587328
0p5MuFtran->FO,0p5MuFtran->Res,dphi^0,lndphi^0,2010.4124525909524,4.8131620027214685
CV->FO,0p5MuHard->Res,dphi^0,lndphi^0,2008.7049199582464,4.739649526731754
CV->FO,0p5MuSoft->Res,dphi^0,lndphi^0,2006.6084686371094,4.734267936896943
CV->FO,0p5NuBeam->Res,dphi^0,lndphi^0,2008.8932983289499,4.737260180615967
CV->FO,0p5NuSoft->Res,dphi^0,lndphi^0,2007.3679938575165,4.728444536970992
CV->FO,2C0_np->Res,dphi^0,lndphi^0,2007.709012953835,4.735024269764601
CV->FO,2kappa_np->Res,dphi^0,lndphi^0,2008.5453281132718,4.735874091868877
CV->FO,2MuBeam->Res,dphi^0,lndphi^0,2009.4182031314135,4.72086686162366
CV->FO,2MuBF->Res,dphi^0,lndphi^0,2006.5138035370503,4.750923386106215
CV->FO,2MuCt->Res,dphi^0,lndphi^0,2007.728543426799,4.745285246366679
CV->FO,2MuFac->Res,dphi^0,lndphi^0,2004.323039101307,4.777360421767776
2MuFtran->FO,2MuFtran->Res,dphi^0,lndphi^0,2007.0717485776743,4.977749554395859
CV->FO,2MuHard->Res,dphi^0,lndphi^0,2006.7482632171723,4.741981997508144
CV->FO,2MuSoft->Res,dphi^0,lndphi^0,2010.5642441058626,4.73377259481485
CV->FO,2NuBeam->Res,dphi^0,lndphi^0,2007.3835101246643,4.728170396679047
CV->FO,2NuSoft->Res,dphi^0,lndphi^0,2008.8876377057463,4.7372847592290075
0p5MuF->FO,CV->Res,dphi^0,lndphi^0,2004.3867575246486,5.718036132489221
0p5MuRF->FO,CV->Res,dphi^0,lndphi^0,2011.9770108813962,6.519138577703202
0p5MuR->FO,CV->Res,dphi^0,lndphi^0,2008.5988310601876,6.307043036840378
2MuF->FO,CV->Res,dphi^0,lndphi^0,2011.5509361852771,5.415405479503498
2MuRF->FO,CV->Res,dphi^0,lndphi^0,2004.914720777687,5.819489664951513
2MuR->FO,CV->Res,dphi^0,lndphi^0,1996.5285350687661,5.950089107236106
CV->FO,CV->Res,dphi^0,lndphi^0,2007.9843963526,4.742056144667971
CV->FO,0p5C0_np->Res,dphi^0,lndphi^1,-3287.871702469444,10.843314237838038
CV->FO,0p5kappa_np->Res,dphi^0,lndphi^1,-3275.993027572817,10.811116635363966
CV->FO,0p5MuBeam->Res,dphi^0,lndphi^1,-3291.4389593527308,11.005076663150067
CV->FO,0p5MuBF->Res,dphi^0,lndphi^1,-3309.0862249187217,10.928337654724094
CV->FO,0p5MuCt->Res,dphi^0,lndphi^1,-3279.6250212688133,10.819873791730812
CV->FO,0p5MuFac->Res,dphi^0,lndphi^1,-3320.178946117127,10.870265572304548
0p5MuFtran->FO,0p5MuFtran->Res,dphi^0,lndphi^1,-3282.8263764769445,11.074086557434283
CV->FO,0p5MuHard->Res,dphi^0,lndphi^1,-3281.160015103276,10.823168714012136
CV->FO,0p5MuSoft->Res,dphi^0,lndphi^1,-3275.8532623333945,10.811633672987467
CV->FO,0p5NuBeam->Res,dphi^0,lndphi^1,-3283.9910310603327,10.81822578030873
CV->FO,0p5NuSoft->Res,dphi^0,lndphi^1,-3275.985544874964,10.800732369817633
CV->FO,2C0_np->Res,dphi^0,lndphi^1,-3272.076775511357,10.810447420739687
CV->FO,2kappa_np->Res,dphi^0,lndphi^1,-3283.6120390959577,10.814565966480698
CV->FO,2MuBeam->Res,dphi^0,lndphi^1,-3291.0682662692875,10.784085183314684
CV->FO,2MuBF->Res,dphi^0,lndphi^1,-3273.1567892839503,10.850943439175383
CV->FO,2MuCt->Res,dphi^0,lndphi^1,-3279.211604651208,10.833368849081833
CV->FO,2MuFac->Res,dphi^0,lndphi^1,-3260.8879927670237,10.907272719463718
2MuFtran->FO,2MuFtran->Res,dphi^0,lndphi^1,-3276.229829867051,11.550148765525872
CV->FO,2MuHard->Res,dphi^0,lndphi^1,-3276.7476290504496,10.830141106403092
CV->FO,2MuSoft->Res,dphi^0,lndphi^1,-3288.5589352709876,10.810210948807567
CV->FO,2NuBeam->Res,dphi^0,lndphi^1,-3276.04776854135,10.800244129973644
CV->FO,2NuSoft->Res,dphi^0,lndphi^1,-3283.982222734498,10.818242730754994
0p5MuF->FO,CV->Res,dphi^0,lndphi^1,-3284.0715295088976,13.317594891814828
0p5MuRF->FO,CV->Res,dphi^0,lndphi^1,-3280.048302533298,14.514837811588816
0p5MuR->FO,CV->Res,dphi^0,lndphi^1,-3265.35347818366,13.8277961780558
2MuF->FO,CV->Res,dphi^0,lndphi^1,-3273.439200817531,12.305054835868175
2MuRF->FO,CV->Res,dphi^0,lndphi^1,-3280.469346163707,13.153034979451446
2MuR->FO,CV->Res,dphi^0,lndphi^1,-3278.6126510480626,13.765165637668055
CV->FO,CV->Res,dphi^0,lndphi^1,-3279.6627148368234,10.825575491705747
CV->FO,0p5C0_np->Res,dphi^0,lndphi^2,9522.586937637165,39.644666468998075
CV->FO,0p5kappa_np->Res,dphi^0,lndphi^2,9460.514684318512,39.55898235839513
CV->FO,0p5MuBeam->Res,dphi^0,lndphi^2,9527.393015586604,40.064631936407665
CV->FO,0p5MuBF->Res,dphi^0,lndphi^2,9609.514382096926,39.89077323198694
CV->FO,0p5MuCt->Res,dphi^0,lndphi^2,9478.186153382632,39.58018667364072
CV->FO,0p5MuFac->Res,dphi^0,lndphi^2,9656.983927286523,39.74922181652514
0p5MuFtran->FO,0p5MuFtran->Res,dphi^0,lndphi^2,9487.889588977234,40.420646576121165
CV->FO,0p5MuHard->Res,dphi^0,lndphi^2,9481.716439651462,39.57988497461653
CV->FO,0p5MuSoft->Res,dphi^0,lndphi^2,9466.054880635973,39.55824969891489
CV->FO,0p5NuBeam->Res,dphi^0,lndphi^2,9495.72828583173,39.57634020415867
CV->FO,0p5NuSoft->Res,dphi^0,lndphi^2,9464.065541585498,39.54239631847348
CV->FO,2C0_np->Res,dphi^0,lndphi^2,9436.649856387181,39.5519386341039
CV->FO,2kappa_np->Res,dphi^0,lndphi^2,9496.640244926808,39.556561837404686
CV->FO,2MuBeam->Res,dphi^0,lndphi^2,9534.312603122531,39.48386796277331
CV->FO,2MuBF->Res,dphi^0,lndphi^2,9452.459174172198,39.67894391775707
CV->FO,2MuCt->Res,dphi^0,lndphi^2,9477.283752900177,39.60745438745014
CV->FO,2MuFac->Res,dphi^0,lndphi^2,9395.590395377047,39.851189629815
2MuFtran->FO,2MuFtran->Res,dphi^0,lndphi^2,9462.350482491998,42.09872767814252
CV->FO,2MuHard->Res,dphi^0,lndphi^2,9468.785257820284,39.60242068283986
CV->FO,2MuSoft->Res,dphi^0,lndphi^2,9511.059706278,39.54891141283394
CV->FO,2NuBeam->Res,dphi^0,lndphi^2,9464.172975916177,39.54239502104143
CV->FO,2NuSoft->Res,dphi^0,lndphi^2,9495.686491211793,39.57665486290956
0p5MuF->FO,CV->Res,dphi^0,lndphi^2,9483.6879426881,48.040542664691195
0p5MuRF->FO,CV->Res,dphi^0,lndphi^2,9483.035874416748,52.073858753335315
0p5MuR->FO,CV->Res,dphi^0,lndphi^2,9440.355874035913,50.38682133254758
2MuF->FO,CV->Res,dphi^0,lndphi^2,9445.985098862437,44.12653936826728
2MuRF->FO,CV->Res,dphi^0,lndphi^2,9465.073247600678,46.86287340690062
2MuR->FO,CV->Res,dphi^0,lndphi^2,9469.157877391419,49.50924835998822
CV->FO,CV->Res,dphi^0,lndphi^2,9478.246937170847,39.58429429978106
CV->FO,0p5C0_np->Res,dphi^0,lndphi^3,-33292.15728793558,251.04004748711344
CV->FO,0p5kappa_np->Res,dphi^0,lndphi^3,-32982.51499640501,250.81911534878554
CV->FO,0p5MuBeam->Res,dphi^0,lndphi^3,-33273.77096667435,252.53416208363717
CV->FO,0p5MuBF->Res,dphi^0,lndphi^3,-33668.5306760968,251.8987742509349
CV->FO,0p5MuCt->Res,dphi^0,lndphi^3,-33064.45435556744,250.87950751922608
CV->FO,0p5MuFac->Res,dphi^0,lndphi^3,-33891.033963820344,251.52912987020906
0p5MuFtran->FO,0p5MuFtran->Res,dphi^0,lndphi^3,-33134.78345514906,253.83326640247793
CV->FO,0p5MuHard->Res,dphi^0,lndphi^3,-33071.62215369355,250.81754303178786
CV->FO,0p5MuSoft->Res,dphi^0,lndphi^3,-33016.17084205954,250.81844839662838
CV->FO,0p5NuBeam->Res,dphi^0,lndphi^3,-33142.060564049796,250.83850290506302
CV->FO,0p5NuSoft->Res,dphi^0,lndphi^3,-33009.026698086076,250.81754604310873
CV->FO,2C0_np->Res,dphi^0,lndphi^3,-32851.99328890424,250.75905337137556
CV->FO,2kappa_np->Res,dphi^0,lndphi^3,-33149.876549238266,250.78053243573842
CV->FO,2MuBeam->Res,dphi^0,lndphi^3,-33338.68784381577,250.58557276860364
CV->FO,2MuBF->Res,dphi^0,lndphi^3,-32959.2631750695,251.21822415468696
CV->FO,2MuCt->Res,dphi^0,lndphi^3,-33064.02510054908,250.92600383388393
CV->FO,2MuFac->Res,dphi^0,lndphi^3,-32681.004068390404,251.85988017042453
2MuFtran->FO,2MuFtran->Res,dphi^0,lndphi^3,-32990.73158903328,260.0863145932495
CV->FO,2MuHard->Res,dphi^0,lndphi^3,-33025.9450513504,250.87302605707177
CV->FO,2MuSoft->Res,dphi^0,lndphi^3,-33199.512920206165,250.76563609816927
CV->FO,2NuBeam->Res,dphi^0,lndphi^3,-33007.90968205832,250.823997150613
CV->FO,2NuSoft->Res,dphi^0,lndphi^3,-33141.39797940797,250.83938717180754
0p5MuF->FO,CV->Res,dphi^0,lndphi^3,-33068.544144976724,281.55385684344185
0p5MuRF->FO,CV->Res,dphi^0,lndphi^3,-33062.838339956215,318.0772044729942
0p5MuR->FO,CV->Res,dphi^0,lndphi^3,-32884.228318920446,322.506488734333
2MuF->FO,CV->Res,dphi^0,lndphi^3,-32897.507331474946,272.72992506548366
2MuRF->FO,CV->Res,dphi^0,lndphi^3,-33022.238681549374,271.15187503588396
2MuR->FO,CV->Res,dphi^0,lndphi^3,-33089.27568769518,278.980626866062
CV->FO,CV->Res,dphi^0,lndphi^3,-33067.04769255458,250.86334152579337
CV->FO,0p5C0_np->Res,dphi^0,lndphi^4,141597.0214464004,2705.2781582954844
CV->FO,0p5kappa_np->Res,dphi^0,lndphi^4,139948.18135675185,2704.7271428828503
