dist,acc,ScaleFO,ScaleRes,bin_lo,bin_hi,density,uncertainty
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.0,0.01,2114.595554541606,1844.176866051212
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.01,0.02,5701.435504734049,129.86267355347488
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.02,0.03,8215.749725533027,90.79192604536368
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.03,0.04,9314.387431100467,87.89369587619862
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.04,0.05,9617.10226386933,80.66755073528341
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.05,0.06,9474.635167908798,76.38019306829278
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.06,0.07,8927.719605955866,206.84666623888197
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.07,0.08,8614.241613093425,158.9040355058032
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.08,0.09,8019.3460371820065,137.80436306464912
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.09,0.1,7325.537727614558,122.97279307816
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.1,0.11,6879.490724674661,111.4243007111428
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.11,0.12,6373.333343543702,100.3301617665884
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.12,0.13,6075.37926398953,88.18351915181714
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.13,0.14,5716.697709790708,86.56937237963952
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.14,0.15,5259.925493844339,77.39074531330222
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.15,0.16,4886.312834536169,73.41322840883879
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.16,0.17,4477.417951013949,65.85192012590123
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.17,0.18,4269.658638773238,60.928283194765434
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.18,0.19,3925.8634726333703,52.93757965475954
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.19,0.2,3674.755003076562,56.87237505284039
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.2,0.21,3522.428399640703,43.86534521098076
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.21,0.22,3253.2325473475453,42.51002325893443
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.22,0.23,3099.61185023311,40.9502743030932
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.23,0.24,2934.505615964322,37.81127389773451
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.24,0.25,2713.785579822107,33.60292189049022
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.25,0.26,2552.5593854650524,32.53060545897767
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.26,0.27,2373.620861133656,31.13674386831004
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.27,0.28,2276.182270086387,29.291068360946948
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.28,0.29,2138.2718482189525,27.003042212604655
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.29,0.3,1994.122424266689,26.13778143877671
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.3,0.31,1910.9249999999995,25.315893541751652
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.31,0.32,1751.197,26.820837000501218
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.32,0.33,1688.1329999999998,24.606659540589472
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.33,0.34,1600.921,23.65252717745451
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.34,0.35,1536.661,21.25525682126482
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.35,0.36,1477.5859999999998,22.64545751623144
