dist,acc,ScaleFO,ScaleRes,bin_lo,bin_hi,density,uncertainty
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.0,0.01,1722.385925655422,771.368517947313
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.01,0.02,5882.181420061109,80.39607869067822
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.02,0.03,8396.060962881404,64.0489507921324
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.03,0.04,9663.109477792848,62.38964923933362
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.04,0.05,9973.451912581646,65.88962848934439
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.05,0.06,9856.687776398716,71.08345656690011
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.06,0.07,9731.862097681753,237.86009353417006
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.07,0.08,8848.010368738926,158.94372333192382
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.08,0.09,8276.485878608972,148.26201978677062
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.09,0.1,7788.809741831405,136.84292634320443
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.1,0.11,7178.086238260331,119.27770057905593
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.11,0.12,6663.4863825135235,105.10595516311494
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.12,0.13,6331.926864095643,96.8835217834668
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.13,0.14,5915.762469817293,96.65348452458396
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.14,0.15,5301.149278717986,95.98296243581362
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.15,0.16,5048.662350087797,76.07372415468956
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.16,0.17,4804.310766020739,73.0739187812788
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.17,0.18,4422.368432661126,70.22245031255908
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.18,0.19,4213.548557404727,54.816984479750474
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.19,0.2,3903.3638555345697,57.67190832966478
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.2,0.21,3785.2706434623933,49.00502703980106
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.21,0.22,3514.791695188883,47.66847341622473
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.22,0.23,3269.9465468269314,41.235577876193155
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.23,0.24,3067.692842420297,36.65898642543742
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.24,0.25,2848.7928054973113,35.846649278202705
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.25,0.26,2653.329335221366,34.363711745959634
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.26,0.27,2567.9432910850096,37.46218150135916
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.27,0.28,2408.600989635863,36.28442181022167
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.28,0.29,2282.219381253734,30.268651531900716
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.29,0.3,2141.004343618833,28.97551068671816
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.3,0.31,1999.7250000000001,26.07151334491498
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.31,0.32,1901.136,24.578547431648193
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.32,0.33,1794.5209999999997,23.8297368996461
rTDist,N4LLp+N3LO,CV->FO,0p5C0_np->Res,0.33,0.34,1691.9180000000001,22.41802592443296
